,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000000653,8,14,12,10,5,16,29,14,10
ENSRNOG00000000655,185,168,99,676,412,455,719,483,466
ENSRNOG00000000657,218,671,345,223,280,462,280,251,366
ENSRNOG00000000658,6389,9210,7757,2442,2802,3279,2998,2094,2320
ENSRNOG00000000661,480,431,441,206,183,243,365,241,247
ENSRNOG00000000662,267,222,212,233,252,280,376,310,239
ENSRNOG00000000663,944,696,789,914,1030,1074,1275,1036,940
ENSRNOG00000000664,1274,773,856,804,652,817,1129,724,709
ENSRNOG00000000665,1741,2486,1987,1480,1596,2011,2103,1600,1760
ENSRNOG00000000691,2,3,4,0,0,0,0,0,0
ENSRNOG00000000692,750,1782,1500,384,474,651,543,429,456
ENSRNOG00000000693,1,1,7,2,1,1,4,1,0
ENSRNOG00000000695,726,660,410,205,310,583,417,365,346
ENSRNOG00000000697,2106,1213,1440,1735,1358,1711,1943,1512,1596
ENSRNOG00000000699,93,74,68,76,54,106,97,128,103
ENSRNOG00000000700,122,19,36,4,12,8,3,8,14
ENSRNOG00000000701,3675,3511,2481,3045,3354,2728,3732,3216,2133
ENSRNOG00000000702,1572,1292,1250,1398,1154,1453,2165,1154,1311
ENSRNOG00000000704,3,12,4,67,55,134,148,123,106
ENSRNOG00000000708,32,13,14,47,17,37,32,17,29
ENSRNOG00000000713,69,68,67,27,34,47,49,38,59
ENSRNOG00000000715,0,0,0,0,0,0,0,0,0
ENSRNOG00000000716,0,0,0,0,0,0,0,0,0
ENSRNOG00000000718,1324,1105,1207,981,1007,1183,1463,1069,1159
ENSRNOG00000000720,102,162,83,77,90,136,100,143,111
ENSRNOG00000000723,9119,11871,9511,5225,12004,14425,11857,15820,9668
ENSRNOG00000000726,0,0,0,0,0,0,0,0,0
ENSRNOG00000000728,1728,2098,1508,766,887,678,1067,1119,665
ENSRNOG00000000729,146,142,136,170,126,134,217,112,122
ENSRNOG00000000746,0,0,0,0,0,0,0,0,0
ENSRNOG00000000747,0,0,0,0,0,0,0,0,0
ENSRNOG00000000748,4,8,2,6,3,8,13,6,4
ENSRNOG00000000749,0,0,0,0,0,0,0,0,0
ENSRNOG00000000759,0,0,0,0,0,0,0,0,0
ENSRNOG00000000763,507,663,554,145,176,207,623,234,145
ENSRNOG00000000765,0,0,0,0,0,0,0,0,0
ENSRNOG00000000767,2,0,0,0,0,0,0,0,0
ENSRNOG00000000768,1002,6608,1429,183,766,679,339,1009,261
ENSRNOG00000000774,744,520,675,1531,1020,1254,1810,1136,1342
ENSRNOG00000000775,0,0,0,0,0,0,0,0,0
ENSRNOG00000000777,7383,10780,6280,1897,7845,8752,9035,11903,4973
ENSRNOG00000000778,83,88,88,70,110,80,199,125,90
ENSRNOG00000000779,308,216,220,396,339,428,683,393,431
ENSRNOG00000000780,978,895,833,627,698,848,1112,817,737
ENSRNOG00000000781,91,25,33,13,5,8,11,8,12
ENSRNOG00000000782,373,201,227,14,18,37,27,28,21
ENSRNOG00000000783,11,4,5,0,0,1,0,0,0
ENSRNOG00000000785,252,219,207,313,301,289,504,297,321
ENSRNOG00000000786,134,88,117,341,320,351,509,341,338
ENSRNOG00000000787,111,142,51,21,89,46,128,157,41
ENSRNOG00000000795,341,621,287,220,479,511,810,942,332
ENSRNOG00000000796,5057,3850,3864,4324,3642,3986,5278,2959,3340
ENSRNOG00000000798,3446,2347,2745,1247,1287,1299,1879,1378,1282
ENSRNOG00000000799,5196,5604,4449,5195,5678,6000,6726,5151,4955
ENSRNOG00000000800,1949,1268,1242,1089,1004,1482,1439,984,1223
ENSRNOG00000000801,91,68,77,98,84,122,157,72,73
ENSRNOG00000000802,13,12,17,18,14,26,29,16,21
ENSRNOG00000000804,2273,1925,1807,2149,2408,2377,3116,2289,2274
ENSRNOG00000000805,1105,1375,1029,1566,1519,1942,3358,2000,2067
